Game_Date,Release_Speed,Release_Point_X,Release_Point_Z,Horizontal_Movement,Vertical_Movement,Inning,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Perceived_Speed,Release_Spin_Rate,Release_Extension,Release_Point_Y,Plate_Appearance,Pitch_Per_PA,Pitch_Name,Pitch_Per_Game,Days_Between_Starts
2015-04-12,93.8,2.8617,5.0865,1.619325,1.5731333333333333,5.0,-11.948,-135.915,-3.6260000000000003,22.648000000000003,40.056999999999995,-14.845999999999998,92.175,2227.0,6.379,54.1196,36.0,5.0,Sinker,69.0,4.0
2015-04-12,96.3,2.6143,5.2067,1.4370166666666668,1.194733333333333,5.0,-13.306,-139.532,-2.87,21.85,35.984,-18.637999999999998,95.337,2331.0,6.294,54.2049,36.0,6.0,Sinker,70.0,4.0
2015-04-12,85.4,2.8408,4.8945,1.9296666666666669,0.9969333333333332,5.0,-11.140999999999998,-123.85799999999999,-2.283,22.399,30.685,-23.685,84.411,2101.0,6.369,54.1298,37.0,1.0,Changeup,71.0,4.0
2015-04-12,95.9,2.992,4.8821,1.43145,1.2836,5.0,-11.593,-139.15200000000002,-2.79,21.625,36.223,-17.524,95.03299999999999,2260.0,6.371,54.1276,37.0,2.0,Sinker,72.0,4.0
2015-04-12,85.5,3.0311,4.7337,2.1913,0.9267,5.0,-10.305,-124.109,-2.6710000000000003,25.193,32.145,-24.445999999999998,84.238,2244.0,6.2989999999999995,54.199,38.0,1.0,Changeup,73.0,4.0
2015-04-12,96.6,3.0393,4.7419,1.7376166666666668,1.5444666666666669,5.0,-10.800999999999998,-140.221,-2.9330000000000003,26.108,38.395,-13.849,95.60799999999999,2300.0,6.369,54.1297,38.0,2.0,Sinker,74.0,4.0
2015-04-12,82.7,2.8623,5.0914,-0.4974,-0.19273333333333328,5.0,-5.235,-120.31299999999999,0.635,-3.806,26.933000000000003,-36.056,81.014,2354.0,5.497999999999999,55.0003,38.0,3.0,Slider,75.0,4.0
2015-04-12,88.4,3.1397,4.8944,1.4342333333333332,1.0327666666666664,5.0,-11.263,-128.079,-6.496,18.552,27.948,-22.505,87.711,2023.0,6.292000000000001,54.2063,39.0,1.0,Changeup,76.0,4.0
2015-04-12,97.2,2.9935,5.0628,1.33125,1.3280333333333332,5.0,-10.319,-141.092,-1.588,21.144000000000002,32.277,-16.253,96.916,2348.0,6.3229999999999995,54.1754,39.0,2.0,Sinker,77.0,4.0
2015-04-12,96.8,3.1199,4.9925,1.251925,1.3724666666666667,5.0,-10.304,-140.559,-4.34,19.515,37.203,-16.025,96.556,2364.0,6.665,53.8337,39.0,3.0,Sinker,78.0,4.0
2015-04-12,85.6,3.0382,4.8919,1.4745916666666667,0.6285666666666666,5.0,-7.367999999999999,-124.39,-2.548,17.815,28.212,-27.487,84.694,1997.0,6.136,54.361999999999995,39.0,4.0,Changeup,79.0,4.0
2015-04-12,97.3,2.8633,5.0963,1.1628583333333329,1.3294666666666668,5.0,-9.176,-141.362,-4.88,18.432000000000002,38.215,-16.465,96.641,2367.0,6.449,54.0499,39.0,5.0,Sinker,80.0,4.0
2015-04-12,75.2,2.9730000000000003,5.0516,-0.87315,-0.20276666666666665,6.0,-4.676,-109.522,0.885,-6.2989999999999995,24.418000000000003,-35.414,73.064,2292.0,5.292999999999999,55.205,45.0,1.0,Slider,81.0,4.0
2015-04-12,84.7,2.832,4.7239,1.928275,0.9869,6.0,-12.959000000000001,-122.59100000000001,-4.963,22.644000000000002,22.811999999999998,-23.691999999999997,84.73299999999999,1991.0,6.535,53.9631,45.0,2.0,Changeup,82.0,4.0
2015-04-12,84.5,2.7995,4.942,1.3340333333333332,1.2090666666666663,6.0,-10.481,-122.538,-3.589,15.859000000000002,26.176,-21.482,83.478,2105.0,6.0360000000000005,54.4629,45.0,3.0,Changeup,83.0,4.0
2015-04-12,81.5,2.8353,5.1776,-0.5711583333333332,0.2473,6.0,-5.605,-118.477,-2.1390000000000002,-4.437,25.76,-31.631999999999998,80.45,2308.0,5.944,54.5541,45.0,4.0,Slider,84.0,4.0
2015-04-12,84.7,2.9066,4.681,1.4036166666666667,0.8091666666666666,6.0,-9.801,-122.96700000000001,-1.258,16.825,25.0,-25.609,84.137,1998.0,6.162999999999999,54.3358,46.0,1.0,Changeup,85.0,4.0
2015-04-12,86.2,2.9426,4.7821,1.7543166666666667,0.9152333333333332,6.0,-8.091000000000001,-125.257,-1.053,21.386999999999997,26.693,-24.223000000000003,85.978,2132.0,6.433,54.0659,46.0,2.0,Changeup,86.0,4.0
2015-04-12,96.1,2.8721,4.9017,1.4286666666666668,1.246333333333333,6.0,-11.690999999999999,-139.327,-5.287000000000001,21.706999999999997,35.305,-17.954,95.213,2385.0,6.297000000000001,54.2013,46.0,3.0,Sinker,87.0,4.0
2015-04-12,97.0,2.8067,5.0281,1.3702166666666669,1.2420333333333329,6.0,-9.427999999999999,-140.857,0.026000000000000002,21.434,34.957,-17.645,95.947,2364.0,6.13,54.3686,46.0,4.0,Sinker,88.0,4.0
2015-04-12,82.0,3.031,4.9397,-0.22463333333333327,0.017966666666666666,6.0,-5.012,-119.30799999999999,-1.364,-0.978,22.94,-33.924,81.043,2400.0,5.707000000000001,54.7917,46.0,5.0,Slider,89.0,4.0
2015-04-12,94.9,2.8067,5.0281,1.7167416666666668,1.7179,6.0,-9.767999999999999,-137.72799999999998,-2.784,25.311,32.646,-11.904000000000002,95.947,2364.0,6.13,54.3686,47.0,1.0,Sinker,90.0,4.0
