Game_Date,Release_Speed,Release_Point_X,Release_Point_Z,Horizontal_Movement,Vertical_Movement,Inning,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Perceived_Speed,Release_Spin_Rate,Release_Extension,Release_Point_Y,Plate_Appearance,Pitch_Per_PA,Pitch_Name,Pitch_Per_Game
2017-04-05,74.4,3.3913,5.2218,-1.4914,-0.4309,4,-4.255,-108.0538,1.3137,-10.38,22.364,-35.9939,72.903,2284.0,5.695,54.8049,24,1,Slider,64
2017-04-05,85.2,3.4963,4.9555,1.9401,0.617,4,-10.7734,-123.5535,-2.2685,22.1899,28.0933,-25.6171,84.705,2193.0,6.48,54.0195,24,2,Changeup,65
2017-04-05,78.1,3.2835,5.2027,-1.2289,-0.1787,4,-5.1859,-113.4437,1.0277,-9.1272,24.6787,-34.1788,76.649,2487.0,5.779,54.7213,24,3,Slider,66
2017-04-05,95.2,3.3154,5.2987,1.339,1.1537,4,-10.3392,-138.1361,-5.159,19.5031,33.8228,-16.5267,94.537,2378.0,6.2860000000000005,54.2135,24,4,4-Seam Fastball,67
2017-04-05,94.9,3.1526,5.4746,1.4724,1.1812,4,-12.7786,-137.2769,-6.0173,21.4302,33.8101,-16.2784,93.55,2358.0,6.08,54.4195,24,5,4-Seam Fastball,68
2017-04-05,91.4,3.2674,5.4358,1.4551,1.4174,5,-11.5711,-132.3446,-5.597,19.6135,33.0534,-14.7527,89.984,2221.0,6.087000000000001,54.4127,29,1,4-Seam Fastball,69
2017-04-05,93.6,3.3602,5.4009,1.3868,1.0752,5,-13.0152,-135.4493,-3.887,19.9337,32.4831,-18.4542,92.444,2114.0,6.131,54.3686,29,2,4-Seam Fastball,70
2017-04-05,80.1,3.1643,5.3989,-0.5321,-0.0875,5,-6.7,-116.3156,-1.7611,-3.3489,23.4794,-32.8569,78.899,2289.0,5.7379999999999995,54.7617,29,3,Slider,71
2017-04-05,91.2,3.1749,5.518,1.3396,1.2084,5,-12.5339,-132.0917,-6.3294,18.22,28.5922,-17.048,90.355,2318.0,6.07,54.4301,30,1,4-Seam Fastball,72
2017-04-05,85.5,3.5887,5.0965,1.7266,0.5223,5,-9.4587,-124.0598,-1.4956,19.4725,25.8967,-26.8158,84.523,2008.0,5.91,54.5903,30,2,Changeup,73
2017-04-05,76.5,3.4858,5.1661,-0.7542,-0.3629,5,-4.9791,-111.098,1.3228,-5.1088,21.1807,-35.6104,75.225,2224.0,5.61,54.8897,30,3,Slider,74
2017-04-05,92.8,3.1862,5.3921,1.3475,1.2947,5,-11.1851,-134.5526,-2.2866,18.9935,33.4472,-16.2702,92.105,2244.0,6.406000000000001,54.0941,31,1,4-Seam Fastball,75
